address,description,pic,link,lat,lng,icon,anim,title,infoopen,category,approved,retina,type
" Harold Road, SPRINGVALE 3171, VIC, Australia"," Harold Road, SPRINGVALE 3171",,,-37.974962,145.153433,,0,Alex Nelson Reserve(Australian Rules Football),0,7,1,0,0
" Dowling Avenue, MULGRAVE 3170, VIC, Australia"," Dowling Avenue, MULGRAVE 3170",,,-37.936376,145.168138,,0,Edinburgh Reserve(Australian Rules Football),0,7,1,0,0
" Ericksen Street, SPRINGVALE 3171, VIC, Australia"," Ericksen Street, SPRINGVALE 3171",,,-37.943645,145.147509,,0,Springvale Reserve(Australian Rules Football),0,7,1,0,0
" Harold Road, SPRINGVALE 3171, VIC, Australia"," Harold Road, SPRINGVALE 3171",,,-37.974962,145.153433,,0,Alex Nelson Reserve(Cricket),0,13,1,0,0
" Dowling Avenue, MULGRAVE 3170, VIC, Australia"," Dowling Avenue, MULGRAVE 3170",,,-37.936376,145.168138,,0,Edinburgh Reserve(Cricket),0,13,1,0,0
" Ericksen Street, SPRINGVALE 3171, VIC, Australia"," Ericksen Street, SPRINGVALE 3171",,,-37.943645,145.147509,,0,Springvale Reserve(Cricket),0,13,1,0,0
" Flynn Street, SPRINGVALE 3171, VIC, Australia"," Flynn Street, SPRINGVALE 3171",,,-37.946035,145.161401,,0,Warner Reserve(Cricket),0,13,1,0,0
"546 Springvale Road, SPRINGVALE 3171, VIC, Australia","546 Springvale Road, SPRINGVALE 3171",,,-37.975114,145.147312,,0,Springvale Indoor Sports(Cricket),0,1,1,0,0
"591-659 Princess Highway, SPRINGVALE 3171, VIC, Australia","591-659 Princess Highway, SPRINGVALE 3171",,,-37.95666,144.16301,,0,Sandown Race Course(Cycling),0,14,1,0,0
"1 Balmoral Avenue, SPRINGVALE 3171, VIC, Australia","1 Balmoral Avenue, SPRINGVALE 3171",,,-37.949303,145.152029,,0,Alphonsa Fitness Centre & Jym(Fitness / Gymnasium Workouts),0,15,1,0,0
" Brough Street, SPRINGVALE 3171, VIC, Australia"," Brough Street, SPRINGVALE 3171",,,-37.941992,145.168696,,0,Sandown Indoor Tennis & Sports Centre(Fitness / Gymnasium Workouts),0,15,1,0,0
" Heatherton Road, SPRINGVALE 3171, VIC, Australia"," Heatherton Road, SPRINGVALE 3171",,,-37.963132,145.152186,,0,Burden Park(Lawn Bowls),0,20,1,0,0
" Racecourse Drive, SPRINGVALE 3171, VIC, Australia"," Racecourse Drive, SPRINGVALE 3171",,,-37.950455,145.165869,,0,Sandown Raceway(Motor Sports),0,21,1,0,0
"546 Springvale Road, SPRINGVALE 3171, VIC, Australia","546 Springvale Road, SPRINGVALE 3171",,,-37.975114,145.147312,,0,Springvale Indoor Sports(Netball),0,22,1,0,0
"710 Dandenong  Road, SPRINGVALE 3171, VIC, Australia","710 Dandenong  Road, SPRINGVALE 3171",,,-37.943689,145.170338,,0,Sporting Shooters Association of Victoria(Shooting Sports),0,24,1,0,0
"710 Dandenong Road, SPRINGVALE 3171, VIC, Australia","710 Dandenong Road, SPRINGVALE 3171",,,-37.929113,145.150876,,0,Springvale Pistol Club(Shooting Sports),0,24,1,0,0
" Whitworth Avenue, MULGRAVE 3170, VIC, Australia"," Whitworth Avenue, MULGRAVE 3170",,,-37.939349,145.147027,,0,Glendale Reserve(Soccer),0,27,1,0,0
" Heritage Drive, SPRINGVALE 3171, VIC, Australia"," Heritage Drive, SPRINGVALE 3171",,,-37.954379,145.140357,,0,Norman Luth Reserve(Soccer),0,26,1,0,0
" Springvale Road, SPRINGVALE 3171, VIC, Australia"," Springvale Road, SPRINGVALE 3171",,,-37.969029,145.146441,,0,Spring Valley Park(Soccer),0,26,1,0,0
" Flynn Street, SPRINGVALE 3171, VIC, Australia"," Flynn Street, SPRINGVALE 3171",,,-37.946035,145.161401,,0,Warner Reserve(Soccer),0,26,1,0,0
"546 Springvale Road, SPRINGVALE 3171, VIC, Australia","546 Springvale Road, SPRINGVALE 3171",,,-37.975114,145.147312,,0,Springvale Indoor Sports(Soccer (Indoor Soccer / Futsal)),0,26,1,0,0
" Brough Street, SPRINGVALE 3171, VIC, Australia"," Brough Street, SPRINGVALE 3171",,,-37.941992,145.168696,,0,Sandown Indoor Tennis & Sports Centre(Tennis),0,30,1,0,0
" Mackay Street, SPRINGVALE 3171, VIC, Australia"," Mackay Street, SPRINGVALE 3171",,,-37.97299,145.149683,,0,Springvale South Tennis Club(Tennis),0,30,1,0,0
" Heatherton Road, SPRINGVALE 3171, VIC, Australia"," Heatherton Road, SPRINGVALE 3171",,,-37.963132,145.152186,,0,Burden Park(Tennis),0,30,1,0,0
" Furnew Street, SPRINGVALE 3171, VIC, Australia"," Furnew Street, SPRINGVALE 3171",,,-37.943258,145.157616,,0,Springvale Tennis Club(Tennis),0,30,1,0,0
" Clarevale Street, CLAYTON SOUTH 3169, VIC, Australia"," Clarevale Street, CLAYTON SOUTH 3169",,,-37.935584,145.124145,,0,Keeley Park(Australian Rules Football),0,7,1,0,0
" Newport  Road, CLAYTON SOUTH 3169, VIC, Australia"," Newport  Road, CLAYTON SOUTH 3169",,,-37.93217,145.111131,,0,Namatjira Reserve(Australian Rules Football),0,7,1,0,0
" Clarevale Street, CLAYTON SOUTH 3169, VIC, Australia"," Clarevale Street, CLAYTON SOUTH 3169",,,-37.935584,145.124145,,0,Keeley Park(Cricket),0,13,1,0,0
" Newport  Road, CLAYTON SOUTH 3169, VIC, Australia"," Newport  Road, CLAYTON SOUTH 3169",,,-37.93217,145.111131,,0,Namatjira Reserve(Cricket),0,13,1,0,0
" Glennie Avenue, OAKLEIGH SOUTH 3167, VIC, Australia"," Glennie Avenue, OAKLEIGH SOUTH 3167",,,-37.929564,145.085432,,0,Commonwealth Golf Club (Golf),0,16,1,0,0
" Graham  Road, CLAYTON SOUTH 3169, VIC, Australia"," Graham  Road, CLAYTON SOUTH 3169",,,-37.952688,145.132665,,0,Springvale Golf Course(Golf),0,16,1,0,0
" Springs Street, CLAYTON 3168, VIC, Australia"," Springs Street, CLAYTON 3168",,,-37.93217,145.111131,,0,Clayton Bowls Club(Lawn Bowls),0,20,1,0,0
" Deals Road, CLAYTON SOUTH 3169, VIC, Australia"," Deals Road, CLAYTON SOUTH 3169",,,-37.953747,145.120478,,0,Oakley Go Kart & Pistol Club(Motor Sports),0,21,1,0,0
" Washington  Road, CLAYTON 3168, VIC, Australia"," Washington  Road, CLAYTON 3168",,,-37.934468,145.081248,,0,Dales Park(Netball),0,22,1,0,0
" Deals Road, CLAYTON SOUTH 3169, VIC, Australia"," Deals Road, CLAYTON SOUTH 3169",,,-37.953747,145.120478,,0,Oakley Go Kart & Pistol Club(Shooting Sports),0,24,1,0,0
" Newport  Road, CLAYTON SOUTH 3169, VIC, Australia"," Newport  Road, CLAYTON SOUTH 3169",,,-37.93217,145.111131,,0,Namatjira Reserve(Skating),0,25,1,0,0
" Osborne Avenue, CLAYTON SOUTH 3169, VIC, Australia"," Osborne Avenue, CLAYTON SOUTH 3169",,,-37.945332,145.13053,,0,Grange Reserve(Soccer),0,26,1,0,0
" Clarevale Street, CLAYTON SOUTH 3169, VIC, Australia"," Clarevale Street, CLAYTON SOUTH 3169",,,-37.935584,145.124145,,0,Keeley Park(Soccer),0,26,1,0,0
" Crawford  Road, CLARINDA 3169, VIC, Australia"," Crawford  Road, CLARINDA 3169",,,-37.928776,145.101673,,0,Clarinda Tennis Club(Tennis),0,30,1,0,0
" Osborne Avenue, CLAYTON SOUTH 3169, VIC, Australia"," Osborne Avenue, CLAYTON SOUTH 3169",,,-37.945332,145.13053,,0,Grange Reserve(Tennis),0,30,1,0,0
" Newport  Road, CLAYTON SOUTH 3169, VIC, Australia"," Newport  Road, CLAYTON SOUTH 3169",,,-37.93217,145.111131,,0,Namatjira Reserve(Tennis),0,30,1,0,0
"360 Springvale Road, SPRINGVALE 3171, VIC, Australia","360 Springvale Road, SPRINGVALE 3171",,,-37.799435,145.177737,,0,Manningham Donvale Indoor Sports Centre(Badminton),0,8,1,0,0
"360 Springvale Road, SPRINGVALE 3171, VIC, Australia","360 Springvale Road, SPRINGVALE 3171",,,-37.799435,145.177737,,0,Manningham Donvale Indoor Sports Centre(Basketball),0,10,1,0,0
"360 Springvale Road, SPRINGVALE 3171, VIC, Australia","360 Springvale Road, SPRINGVALE 3171",,,-37.799435,145.177737,,0,Manningham Donvale Indoor Sports Centre(Netball),0,22,1,0,0
"360 Springvale Road, SPRINGVALE 3171, VIC, Australia","360 Springvale Road, SPRINGVALE 3171",,,-37.799435,145.177737,,0,Manningham Donvale Indoor Sports Centre(Table Tennis),0,29,1,0,0
"360 Springvale Road, SPRINGVALE 3171, VIC, Australia","360 Springvale Road, SPRINGVALE 3171",,,-37.799435,145.177737,,0,Manningham Donvale Indoor Sports Centre(Volleyball),0,31,1,0,0
" Talbot  Avenue, OAKLEIGH 3166, VIC, Australia"," Talbot  Avenue, OAKLEIGH 3166",,,-37.92001,145.103307,,0,Davies Reserve(Athletics),0,6,1,0,0
" Columbia Drive, WHEELERS HILL 3150, VIC, Australia"," Columbia Drive, WHEELERS HILL 3150",,,-37.914574,145.185575,,0,Columbia Park(Australian Rules Football),0,7,1,0,0
" Huntingdale Road, CHADSTONE 3148, VIC, Australia"," Huntingdale Road, CHADSTONE 3148",,,-37.877034,145.10822,,0,Jordan Reserve(Australian Rules Football),0,7,1,0,0
" Ring East Road, HUNTINGDALE 3166, VIC, Australia"," Ring East Road, HUNTINGDALE 3166",,,-37.912047,145.138854,,0,Marshall Reserve(Australian Rules Football),0,7,1,0,0
" Mayfield Drive, OAKLEIGH 3166, VIC, Australia"," Mayfield Drive, OAKLEIGH 3166",,,-37.887179,145.115781,,0,Mayfield Park(Australian Rules Football),0,7,1,0,0
" Haughton Road, CLAYTON 3168, VIC, Australia"," Haughton Road, CLAYTON 3168",,,-37.922689,145.1162,,0,Meade Reserve(Australian Rules Football),0,7,1,0,0
" Gamett Road, WHEELERS HILL 3150, VIC, Australia"," Gamett Road, WHEELERS HILL 3150",,,-37.921663,145.202028,,0,Mulgrave Reserve(Australian Rules Football),0,7,1,0,0
" Dandenong Road, OAKLEIGH 3166, VIC, Australia"," Dandenong Road, OAKLEIGH 3166",,,-37.909012,145.116778,,0,Princess Hwy Reserve(Australian Rules Football),0,7,1,0,0
" Guest Road, OAKLEIGH 3166, VIC, Australia"," Guest Road, OAKLEIGH 3166",,,-37.911491,145.092806,,0,Scammell Reserve(Australian Rules Football),0,7,1,0,0
" Drummond Street, OAKLEIGH 3166, VIC, Australia"," Drummond Street, OAKLEIGH 3166",,,-37.896282,145.088782,,0,Warrawee Park(Australian Rules Football),0,7,1,0,0
" Stadium Circuit, MULGRAVE 3170, VIC, Australia"," Stadium Circuit, MULGRAVE 3170",,,-37.925702,145.188673,,0,Waverley Park(Australian Rules Football),0,7,1,0,0
" Mackie Road, MULGRAVE 3170, VIC, Australia"," Mackie Road, MULGRAVE 3170",,,-37.927284,145.162584,,0,Wellington Reserve(Australian Rules Football),0,7,1,0,0
" Park Road, OAKLEIGH 3166, VIC, Australia"," Park Road, OAKLEIGH 3166",,,-37.893318,145.097143,,0,Oakleigh Recreation Centre(Badminton),0,8,1,0,0
" Maygrove Way, MULGRAVE 3170, VIC, Australia"," Maygrove Way, MULGRAVE 3170",,,-37.932221,145.199512,,0,Gladeswood Reserve(Baseball),0,9,1,0,0
" Ring East Road, HUNTINGDALE 3166, VIC, Australia"," Ring East Road, HUNTINGDALE 3166",,,-37.912047,145.138854,,0,Marshall Reserve(Baseball),0,9,1,0,0
" Oval Road, CLAYTON 3168, VIC, Australia"," Oval Road, CLAYTON 3168",,,-37.913903,145.139159,,0,Monash University Baseball Club(Baseball),0,9,1,0,0
" Estelle Street, OAKLEIGH 3166, VIC, Australia"," Estelle Street, OAKLEIGH 3166",,,-37.893724,145.102808,,0,Scotchmans Run Reserve(Baseball),0,9,1,0,0
" Park Road, OAKLEIGH 3166, VIC, Australia"," Park Road, OAKLEIGH 3166",,,-37.893318,145.097143,,0,Oakleigh Recreation Centre(Basketball),0,10,1,0,0
" Power  Avenue, CHADSTONE 3148, VIC, Australia"," Power  Avenue, CHADSTONE 3148",,,-37.876276,145.099839,,0,Waverley Basketball Stadium(Basketball),0,10,1,0,0
" Cameron Avenue, OAKLEIGH 3166, VIC, Australia"," Cameron Avenue, OAKLEIGH 3166",,,-37.923125,145.086473,,0,Stan Riley Reserve(BMX),0,11,1,0,0
" Clayton  Road, CLAYTON 3168, VIC, Australia"," Clayton  Road, CLAYTON 3168",,,-37.90462,145.124999,,0,Carlson Reserve(Bocce),0,12,1,0,0
" Dandenong Road, OAKLEIGH 3166, VIC, Australia"," Dandenong Road, OAKLEIGH 3166",,,-37.909012,145.116778,,0,Princess Hwy Reserve(Bocce),0,12,1,0,0
" Talbot  Avenue, OAKLEIGH 3166, VIC, Australia"," Talbot  Avenue, OAKLEIGH 3166",,,-37.92628,145.103583,,0,Talbot Park(Bocce),0,12,1,0,0
" Power  Avenue, CHADSTONE 3148, VIC, Australia"," Power  Avenue, CHADSTONE 3148",,,-37.876276,145.099839,,0,Batesford Reserve(Cricket),0,13,1,0,0
" Ferntree Gully Road, WHEELERS HILL 3150, VIC, Australia"," Ferntree Gully Road, WHEELERS HILL 3150",,,-37.902145,145.164465,,0,Brandon Park Reserve(Cricket),0,13,1,0,0
" Atkinson Street, OAKLEIGH 3166, VIC, Australia"," Atkinson Street, OAKLEIGH 3166",,,-37.890316,145.09265,,0,Caloola Reserve(Cricket),0,13,1,0,0
" Clayton  Road, CLAYTON 3168, VIC, Australia"," Clayton  Road, CLAYTON 3168",,,-37.90462,145.124999,,0,Carlson Reserve(Cricket),0,13,1,0,0
" Columbia Drive, WHEELERS HILL 3150, VIC, Australia"," Columbia Drive, WHEELERS HILL 3150",,,-37.914574,145.185575,,0,Columbia Park(Cricket),0,13,1,0,0
